"Timestamp","What do you consider your primary department(s)?","Optionally: your name (feel free to stay anonymous)","Which best describes you?","Which of these would you describe as your main area(s)?","Possibility 1: Computational social science.  If you look at my Fall 2020 seminar that will give you an idea of how I have approached this in the past, although given how rapidly things are moving on the computational side, I suspect that GPT-style large language models are going to play a more prominent part in our readings and discussions.  Partly in connection with that (thinking about the dialogue-oriented nature of ChatGPT, for example), I suspect that computational angles on pragmatics may also show up more visibly.","Possibility 2: Computational pragmatics.  This overlaps with my thinking on the computational social science seminar as above, but this version of things would be more focused (even while thinking of ""pragmatics"" pretty broadly).  There would need to be some review of basic concepts (since I won't assume everyone has taken Alexander's class) and then we'd look at the state of computational literature on the topic, probably including some older stuff (since I always think the historical context is important) but with an eye toward understanding the current state of affairs.","Possibility 3: Computational models of human parsing.  This would be an update of my Fall 2016 seminar, http://users.umiacs.umd.edu/~resnik/ling848_fa2016/.  I imagine updating this will need some non-trivial updates, with interests in both large language models and probably also neuroscience-related discussion.","Are there any other computational linguistics topic areas you would be particularly excited about, as the focus of a Fall 2023 computational linguistics seminar? (Don't include a topic area in your response unless you're confident you would be interested in attending a seminar on that topic.)"
"2023/04/28 12:27:02 PM AST","CS","","Junior student (I'm not yet settled in terms of research direction)","Computational linguistics (NLP);Computational social science","Would probably register for credit","Would probably register for credit","Would be likely to sit in",""
"2023/04/28 12:31:27 PM AST","CS","","Senior student (I have a pretty good idea what my research direction is)","Computational linguistics (NLP)","Would probably register for credit","Would be likely to sit in","Not likely to either sit in or attend for credit",""
"2023/04/28 12:34:09 PM AST","Linguistics","","Junior student (I'm not yet settled in terms of research direction)","Computational linguistics (cognitive or neural modeling);Phonology;Syntax;Neurolinguistics","Not likely to either sit in or attend for credit","Not likely to either sit in or attend for credit","Would be likely to sit in, might register for credit",""
"2023/04/28 12:35:14 PM AST","CS","","Junior student (I'm not yet settled in terms of research direction)","Computational linguistics (NLP);Computational social science","Would be likely to sit in","Would be likely to sit in","Would be likely to sit in",""
"2023/04/28 12:38:40 PM AST","Linguistics","","Senior student (I have a pretty good idea what my research direction is)","Syntax","Would be likely to sit in, might register for credit","Would be likely to sit in","Would be likely to sit in",""
"2023/04/28 12:38:41 PM AST","Linguistics","Sathvik","Junior student (I'm not yet settled in terms of research direction)","Computational linguistics (cognitive or neural modeling);Psycholinguistics","Would be likely to sit in","Would probably register for credit","Would definitely register for credit","Biologically plausible computational models (i.e. predictive coding, memory) and their applications to linguistic data. "
"2023/04/28 12:40:35 PM AST","Linguistics","Jeff","Faculty","Syntax;Language acquisition;Psycholinguistics","Not likely to either sit in or attend for credit","Not likely to either sit in or attend for credit","Would be likely to sit in",""
"2023/04/28 12:42:17 PM AST","Linguistics","","Junior student (I'm not yet settled in terms of research direction)","Semantics;Psycholinguistics","Would be likely to sit in, might register for credit","Would definitely register for credit","Not likely to either sit in or attend for credit",""
"2023/04/28 12:58:31 PM AST","CS","Neha Srikanth","Junior student (I'm not yet settled in terms of research direction)","Computational linguistics (NLP)","Not likely to either sit in or attend for credit","Would definitely register for credit","Would be likely to sit in",""
"2023/04/28 2:13:17 PM AST","CS","Rupak Sarkar","Junior student (I'm not yet settled in terms of research direction)","Computational linguistics (NLP);Computational social science","Would probably register for credit","Would definitely register for credit","Not likely to either sit in or attend for credit","Role of pragmatics in NLP tasks (although this might be too narrow and niche) "
"2023/04/28 2:30:26 PM AST","Linguistics","","Junior student (I'm not yet settled in terms of research direction)","Phonology;Syntax;Psycholinguistics","Would be likely to sit in, might register for credit","Not likely to either sit in or attend for credit","Would probably register for credit",""
"2023/04/28 2:39:22 PM AST","Linguistics","Allison Dods","Junior student (I'm not yet settled in terms of research direction)","Computational linguistics (cognitive or neural modeling);Language acquisition;Psycholinguistics;Pragmatics","Would be likely to sit in, might register for credit","Would definitely register for credit","Would be likely to sit in, might register for credit",""
"2023/04/28 3:35:58 PM AST","Linguistics","","Senior student (I have a pretty good idea what my research direction is)","Language acquisition;Psycholinguistics;Neurolinguistics","Would be likely to sit in","Would be likely to sit in","Would be likely to sit in, might register for credit",""
"2023/05/02 8:47:35 AM AST","Linguistics","Colin Phillips","Faculty","Psycholinguistics","Would be likely to sit in","Would be likely to sit in","Would be likely to sit in",""
"2023/05/02 10:29:00 AM AST","CS","Sandra Sandoval","Senior student (I have a pretty good idea what my research direction is)","Computational social science;sociology of language, human computer interaction and explainable AI","Would probably register for credit","Would probably register for credit","Would probably register for credit",""
